,timestamp,open,high,low,close,volume,datetime,date
287,1673481600000,26524.939453125,26547.609375,26381.9296875,26449.8203125,77000000,2023-01-12 00:00:00,2023-01-12
286,1673395200000,26362.2109375,26479.990234375,26332.05078125,26446.0,62400000,2023-01-11 00:00:00,2023-01-11
285,1673308800000,26176.609375,26316.66015625,26132.80078125,26175.560546875,71200000,2023-01-10 00:00:00,2023-01-10
284,1672963200000,25740.080078125,26034.060546875,25719.609375,25973.849609375,68200000,2023-01-06 00:00:00,2023-01-06
283,1672876800000,25825.5,25947.099609375,25750.4609375,25820.80078125,72300000,2023-01-05 00:00:00,2023-01-05
282,1672790400000,25834.9296875,25840.6796875,25661.890625,25716.859375,83300000,2023-01-04 00:00:00,2023-01-04
281,1672358400000,26288.0,26321.369140625,26067.919921875,26094.5,52700000,2022-12-30 00:00:00,2022-12-30
280,1672272000000,26074.900390625,26126.69921875,25953.919921875,26093.669921875,63100000,2022-12-29 00:00:00,2022-12-29
279,1672185600000,26309.33984375,26354.26953125,26199.669921875,26340.5,61500000,2022-12-28 00:00:00,2022-12-28
278,1672099200000,26570.779296875,26620.490234375,26447.869140625,26447.869140625,50200000,2022-12-27 00:00:00,2022-12-27
277,1672012800000,26299.5390625,26438.650390625,26294.849609375,26405.869140625,47300000,2022-12-26 00:00:00,2022-12-26
276,1671753600000,26207.76953125,26291.98046875,26106.380859375,26235.25,75700000,2022-12-23 00:00:00,2022-12-23
275,1671667200000,26552.4296875,26585.279296875,26399.310546875,26507.869140625,73400000,2022-12-22 00:00:00,2022-12-22
274,1671580800000,26547.169921875,26616.279296875,26269.80078125,26387.720703125,119200000,2022-12-21 00:00:00,2022-12-21
273,1671494400000,27257.349609375,27339.490234375,26416.91015625,26568.029296875,118500000,2022-12-20 00:00:00,2022-12-20
272,1671408000000,27279.919921875,27349.580078125,27165.779296875,27237.640625,58200000,2022-12-19 00:00:00,2022-12-19
271,1671148800000,27706.69921875,27713.0390625,27488.830078125,27527.119140625,83800000,2022-12-16 00:00:00,2022-12-16
270,1671062400000,27991.140625,28163.169921875,27987.5390625,28051.69921875,51100000,2022-12-15 00:00:00,2022-12-15
269,1670976000000,28005.029296875,28195.689453125,27993.779296875,28156.2109375,54800000,2022-12-14 00:00:00,2022-12-14
268,1670889600000,28067.369140625,28116.560546875,27907.490234375,27954.849609375,51900000,2022-12-13 00:00:00,2022-12-13
267,1670803200000,27741.099609375,27865.720703125,27734.66015625,27842.330078125,49600000,2022-12-12 00:00:00,2022-12-12
266,1670544000000,27633.9609375,27952.80078125,27633.9609375,27901.009765625,70200000,2022-12-09 00:00:00,2022-12-09
265,1670457600000,27622.30078125,27643.640625,27415.66015625,27574.4296875,64900000,2022-12-08 00:00:00,2022-12-08
264,1670371200000,27670.2890625,27786.25,27646.779296875,27686.400390625,63000000,2022-12-07 00:00:00,2022-12-07
263,1670284800000,27704.060546875,27934.0703125,27698.310546875,27885.869140625,60400000,2022-12-06 00:00:00,2022-12-06
262,1670198400000,27752.990234375,27854.109375,27700.859375,27820.400390625,63900000,2022-12-05 00:00:00,2022-12-05
261,1669939200000,27983.1796875,27983.1796875,27662.119140625,27777.900390625,79400000,2022-12-02 00:00:00,2022-12-02
260,1669852800000,28273.130859375,28423.4609375,28226.080078125,28226.080078125,71400000,2022-12-01 00:00:00,2022-12-01
259,1669766400000,27886.669921875,27972.890625,27802.7109375,27968.990234375,106600000,2022-11-30 00:00:00,2022-11-30
258,1669680000000,27991.5,28055.91015625,27899.98046875,28027.83984375,64800000,2022-11-29 00:00:00,2022-11-29
